"Time","power consumption"
2022-09-05 21:41:40,6.5
2022-09-05 21:41:45,6.5
2022-09-05 21:41:50,6.5
2022-09-05 21:41:55,6.1
2022-09-05 21:42:00,6.1
2022-09-05 21:42:05,6.1
2022-09-05 21:42:10,6.1
2022-09-05 21:42:15,8.9
2022-09-05 21:42:20,8.9
2022-09-05 21:42:25,8.9
2022-09-05 21:42:30,8.9
2022-09-05 21:42:35,8.6
2022-09-05 21:42:40,8.6
2022-09-05 21:42:45,8.6
2022-09-05 21:42:50,8.6
2022-09-05 21:42:55,8.3
2022-09-05 21:43:00,8.3
2022-09-05 21:43:05,8.3
2022-09-05 21:43:10,8.3
2022-09-05 21:43:15,46.4
2022-09-05 21:43:20,46.4
2022-09-05 21:43:25,46.4
2022-09-05 21:43:30,46.4
2022-09-05 21:43:35,41.7
2022-09-05 21:43:40,41.7
2022-09-05 21:43:45,41.7
2022-09-05 21:43:50,41.7
2022-09-05 21:43:55,44.0
2022-09-05 21:44:00,44.0
2022-09-05 21:44:05,44.1
2022-09-05 21:44:10,44.1
2022-09-05 21:44:15,44.8
2022-09-05 21:44:20,44.8
2022-09-05 21:44:25,44.8
2022-09-05 21:44:30,44.8
2022-09-05 21:44:35,41.1
2022-09-05 21:44:40,41.1
2022-09-05 21:44:45,41.1
2022-09-05 21:44:50,41.1
2022-09-05 21:44:55,41.5
2022-09-05 21:45:00,41.5
2022-09-05 21:45:05,41.5
2022-09-05 21:45:10,41.5
2022-09-05 21:45:15,40.9
2022-09-05 21:45:20,40.9
2022-09-05 21:45:25,40.9
2022-09-05 21:45:30,40.9
2022-09-05 21:45:35,42.1
2022-09-05 21:45:40,42.1
2022-09-05 21:45:45,42.1
2022-09-05 21:45:50,42.1
2022-09-05 21:45:55,60.3
2022-09-05 21:46:00,60.3
2022-09-05 21:46:05,60.3
2022-09-05 21:46:10,60.3
2022-09-05 21:46:15,54.9
2022-09-05 21:46:20,54.9
2022-09-05 21:46:25,54.9
2022-09-05 21:46:30,54.9
2022-09-05 21:46:35,42.4
2022-09-05 21:46:40,42.4
2022-09-05 21:46:45,42.4
2022-09-05 21:46:50,42.4
2022-09-05 21:46:55,46.7
2022-09-05 21:47:00,46.7
2022-09-05 21:47:05,46.7
2022-09-05 21:47:10,46.7
2022-09-05 21:47:15,47.9
2022-09-05 21:47:20,47.9
2022-09-05 21:47:25,47.9
2022-09-05 21:47:30,47.9
2022-09-05 21:47:35,46.6
2022-09-05 21:47:40,46.6
2022-09-05 21:47:45,46.6
